filename,Quality,typs,Blurr,usability considering blur
044f2ae2-8119-4564-9aca-29ece458ab20.jpeg,,underwear,no blurr,focused enough
04579e1b-63f1-4c0c-a2e7-4bbde0f34324.jpeg,,finger,blurry background,too blurry
047bbea6-14cd-417b-a6f6-4888cc7a1ba9.jpeg,,tissue,no blurr,focused enough
04f3466e-1fb4-4d1e-a26e-992e2e5f7618.jpeg,,underwear,blurry background,focused enough
0a1c0a2f-a82f-46cc-a9fa-023e6fbb19f2.jpeg,,finger,blurry background,focused enough
0a8a407e-8084-4e78-b63a-d29f8eeda027.jpg,,underwear,no blurr,focused enough
0bcf0ec3-31b8-481d-8211-d3b70644bb7f.jpeg,,underwear,no blurr,focused enough
0be6c0f3-7efc-456f-acff-f3cb74fd61d9.jpeg,,finger,blurry background,focused enough
0be7dc18-ff9f-4bb6-9ff8-b9b9573aeb09.jpeg,,tissue,blurry background,focused enough
0d53f014-d617-40ec-a43b-249060d46601.jpeg,,finger,blurry background,focused enough
0e636c4c-71a7-4e05-bde7-5190a4d1e902.jpeg,,finger,blurry background,focused enough
0f68a454-0790-48ea-981e-e95bd2afb4a3.png,,finger,no blurr,focused enough
0fea87d4-c19f-42ef-b14d-c4efaa2e9b93.jpeg,,underwear,no blurr,focused enough
13b594bf-3605-475a-9c39-306e6fefa209.jpeg,,underwear,no blurr,focused enough
14a31483-6e1f-42cc-ac8a-f49555ae8d61.jpeg,,underwear,no blurr,focused enough
1517694c-3405-460a-bb1b-2df0a6b7eb79.png,,other,no blurr,focused enough
1633d15c-28bd-4d56-8205-c60380b0af2b.jpeg,,underwear,blurry background,focused enough
16c934e9-56e3-47b2-a7e0-ce38ecf60942.jpg,,finger,blurry foreground,too blurry
1781ad0d-63cc-4f9c-a48a-be8c63118917.jpeg,,finger,blurry background,focused enough
181af382-7835-42e0-bea0-b9a11f76b962.jpeg,,finger,no blurr,focused enough
1a088b92-37d2-4f2c-bac8-4987d4acca80.jpeg,,tissue,blurry background,focused enough
1a3201b2-3ba3-42e8-a02e-28fb6754046f.jpeg,,finger,blurry foreground,too blurry
1a6c16a8-2dab-412e-bd52-7934316725e5.jpeg,,finger,blurry background,focused enough
1b0e2066-48ec-4ab9-9d45-cb8619894663.jpeg,,underwear,no blurr,focused enough
1bc425fc-1778-44ab-a062-195acec66369.jpeg,,underwear,no blurr,focused enough
1beda9a1-2f73-4c43-8987-e3517c935975.jpeg,,finger,blurry background,focused enough
1ce95fc9-b049-4f3d-b551-c3768dc5ea66.jpeg,,finger,no blurr,too blurry
1ec5a259-542a-4583-a161-b74e315c4e1c.jpg,,underwear,no blurr,focused enough
1fbc1f82-31f9-4bd2-8b4a-677a82eae976.jpeg,,finger,blurry background,focused enough
1fd8daa5-6bc0-4264-9d85-fcd8aef3fc4f.jpeg,,finger,blurry background,focused enough
21adb45b-6943-4908-b87d-2cb7452eb872.jpeg,,finger,blurry background,focused enough
21c983a6-179f-4755-8a9c-8bc1e25db241.jpg,,other,no blurr,focused enough
22890016-5a5d-4a9e-803a-de306190ba6b.jpeg,,finger,blurry background,too blurry
22cf320b-3858-4df6-8353-c1177bb4a77a.jpeg,,finger,blurry foreground,too blurry
236f300c-7eae-47a5-bea8-8b3b6bc65c35.jpeg,,underwear,blurry foreground,too blurry
236f755e-f637-4009-805a-98e54c3b5727.jpg,,finger,blurry background,focused enough
237738ee-564a-440f-9ee4-a9f82667efe8.jpeg,,tissue,no blurr,focused enough
23d12212-4830-4e9e-96eb-3933863f84be.jpeg,,finger,blurry background,too blurry
23e50a9f-2507-4615-a0a8-33329294e9b4.jpeg,,underwear,no blurr,focused enough
24fcb0c5-d63f-40e6-81d4-f70b8297dbe0.jpeg,,finger,no blurr,focused enough
25657e9e-7666-46f2-a04a-be9c41a352ff.jpeg,,finger,blurry background,focused enough
257658e9-5248-4e5d-a6a2-812cabd98163.jpeg,,underwear,no blurr,focused enough
272c9cc9-e572-4ef2-9a5d-629675d2ae33.jpeg,,tissue,no blurr,focused enough
2889542a-506b-446e-b390-11a2ec1054c9.jpg,,finger,blurry background,focused enough
28d04419-2b55-4ae1-b408-11276b07ae90.jpeg,,underwear,blurry background,focused enough
2a79d1e4-246e-4a1c-aaa0-ede9d4f4a889.jpeg,,underwear,burry,too blurry
2af3a4df-f83e-40d8-a791-fc74d0b88ece.jpeg,,finger,blurry foreground,too blurry
2afc8373-0e7a-43e8-b663-1d9fa3cb188c.jpeg,,finger,blurry background,focused enough
2afe7032-bbe4-4eec-aae9-b9de1fab3542.jpeg,,finger,blurry background,focused enough
2c845970-4e06-44db-89ad-481359763d50.jpg,,underwear,no blurr,focused enough
2d863e09-3319-4e35-8ea2-e653a4f2af82.jpeg,,finger,blurry foreground,too blurry
2e1be118-eff4-4a57-abfc-d244ae6d4618.jpeg,,finger,burry,too blurry
304ca068-e3b3-45ce-93b1-143f16559e25.jpeg,,tissue,no blurr,focused enough
31099184-7020-4fa9-855c-0269b9448235.jpg,,finger,blurry background,focused enough
3171fed2-bdc7-4a10-a1d1-73c1dd13afb9.jpeg,,underwear,blurry background,focused enough
3286e838-ab6e-42d6-9192-59337c06d335.jpg,,underwear,no blurr,focused enough
35daf08c-bd2d-464b-85b5-b76b697012d4.jpeg,,underwear,blurry background,focused enough
367ac705-cdc6-4c5d-8b65-8940d878117c.jpeg,,finger,blurry foreground,too blurry
36e8dd3b-2e35-45c4-9fa0-8e0c306efa9a.jpeg,,underwear,no blurr,too blurry
385d5f91-d22c-4b8b-8030-8248652446d2.jpg,,finger,blurry background,focused enough
38c42910-b7d7-4f46-9251-7eefb2666545.jpg,,other,no blurr,focused enough
39970494-202d-45a7-9cce-37f814237bb4.jpeg,,tissue,no blurr,focused enough
39c0e019-a397-4c89-8310-3ef4acb79b07.jpeg,,tissue,no blurr,focused enough
39d300d1-3d53-468c-a5f2-b44fb3af0e05.jpg,,other,no blurr,focused enough
3a438b09-03dd-4efc-ad8d-ba3ea74a0654.jpeg,,finger,blurry background,focused enough
3ba51b38-d3aa-41c4-b249-1284b65990ce.jpeg,,finger,blurry foreground,too blurry
3ba6aede-04c5-4dde-8b83-1802c25b656a.jpeg,,underwear,no blurr,focused enough
3bb36097-3196-46d6-beba-d0e125f541ba.jpg,,underwear,no blurr,focused enough
3d9f5a8a-5785-43a0-a862-330b21176516.jpeg,,finger,blurry foreground,too blurry
3e0b2741-da98-449a-96af-ad2e81cd64d3.jpeg,,finger,no blurr,focused enough
3e6feb52-603c-4ae5-8d9b-47a6721f9a84.jpeg,,underwear,no blurr,focused enough
3f213d28-679b-4476-8e19-6fc91d5cd840.jpg,,tissue,burry,too blurry
3f72cbb1-ca0b-4c69-84d7-d6efe778bfa4.jpeg,,underwear,no blurr,focused enough
4267f0c9-16b7-4b2c-9d82-b04656a12905.jpeg,,finger,no blurr,focused enough
428a6f05-efdd-4d95-a9bc-ba12f886032a.jpeg,,underwear,no blurr,focused enough
42a3d4ee-e476-4f05-ac6e-26e1b07da23e.jpeg,,underwear,no blurr,focused enough
4314c5a9-706a-4b81-bf14-b980db4a0c0d.jpeg,,finger,burry,too blurry
4329851a-f6be-4c97-bbc6-fcb60b391cc5.jpeg,,finger,blurry foreground,too blurry
461cef39-c857-4617-b8dc-854a4d07fc02.jpeg,,underwear,blurry background,focused enough
461f3d88-6a9a-4bde-9d07-0b315abc4805.jpg,,underwear,no blurr,focused enough
4659862d-065b-4456-8081-e9727005dd1f.jpg,,finger,blurry background,focused enough
4673b762-8525-48ba-908c-f05a96216cd9.jpg,,other,no blurr,focused enough
4862649d-a301-416e-98d5-b8bb33367d4c.jpeg,,tissue,no blurr,focused enough
48f0d953-b8c8-49a4-ac30-6a222aaea163.jpeg,,finger,blurry background,focused enough
4978d8da-103d-4051-9553-9a9324c9a47b.jpeg,,finger,blurry background,focused enough
4a7bf270-481a-42a8-b2d0-42056eab1be9.jpg,,finger,no blurr,focused enough
4ce7a70f-451a-4866-9128-47a0555fa7be.jpeg,,finger,burry,too blurry
4ed1b9f3-8bed-414c-8576-94c43cb92719.jpg,,other,burry,too blurry
4f0eca68-9910-4cdf-a106-1702b1aa4997.jpg,,finger,blurry background,focused enough
4f51cba1-68be-4100-878e-c862713bca96.jpeg,,finger,blurry background,focused enough
4f9b30b3-00fa-4f1d-9631-788f9d14c81d.jpeg,,underwear,no blurr,focused enough
50150d1a-8355-4a10-99e7-9ce321a4e0ca.jpeg,,finger,blurry background,focused enough
50da3027-3dde-4533-a5d6-70b173e2f9c0.jpeg,,tissue,blurry background,focused enough
50e2c437-83f2-4809-be6e-3f06d4192f41.jpeg,,underwear,no blurr,focused enough
510badec-ccff-42e1-ad35-96a3dd1c9a6f.jpg,,finger,blurry background,focused enough
5111f6b9-cec7-494d-92c3-615a1b4c0db5.jpeg,,underwear,blurry background,focused enough
5126f66f-ea33-41ec-8fa5-d823591007d5.jpeg,,finger,blurry background,focused enough
512962b0-182f-4213-8601-cdb2ed441aae.jpeg,,underwear,no blurr,focused enough
52688e6a-6fda-40d3-8440-91357c32b6c8.jpeg,,tissue,no blurr,focused enough
52e2720b-97b5-429c-953d-0e47cdab745d.jpeg,,finger,blurry foreground,too blurry
5323233c-d114-4b4c-8879-6367372f42c9.jpeg,,tissue,blurry background,focused enough
53d44a80-884f-46c2-87d9-f667cac6d94f.jpeg,,finger,blurry foreground,too blurry
53ff425a-8088-460b-b029-ae2047e026d4.jpeg,,finger,no blurr,focused enough
570e8a35-7a7e-476b-a917-155e93a3691a.jpeg,,finger,blurry background,focused enough
5776d05a-17e3-4fac-821f-1406213f4254.jpeg,,tissue,no blurr,focused enough
580d259f-f6f0-4ae8-9654-c718b9f71773.jpeg,,finger,no blurr,too blurry
58b2dfbc-8d43-46eb-850a-2055191e7aa3.png,,other,no blurr,focused enough
58cf691c-48c6-487d-a2d9-3e12cd92dbae.jpeg,,finger,blurry background,focused enough
59adae34-a3b0-470a-8edc-fa9bf6b685e9.jpeg,,tissue,blurry background,focused enough
5a09e0a8-bb2b-4182-926a-d2241d8ef816.jpeg,,underwear,no blurr,focused enough
5adf5848-3ef3-492b-be67-f05ee9cfe170.jpeg,,finger,blurry foreground,too blurry
5b2ff8d3-c8ae-424e-bfa0-d20d88d0ab84.jpeg,,underwear,no blurr,focused enough
5c77dcd2-519b-4680-ab9c-93b128e8595f.jpeg,,tissue,blurry foreground,too blurry
5cf9d729-6a4f-4b0b-acc3-8d59e135cd8e.jpeg,,underwear,no blurr,focused enough
5d2063db-4213-4115-9f09-ecbb725a4734.jpeg,,finger,no blurr,focused enough
5f7d816c-6290-4743-87ca-c5ae5159a88f.jpeg,,tissue,burry,too blurry
6001cfdd-689a-4f53-b469-1fd40f6207c6.jpeg,,tissue,burry,too blurry
602f5ee8-e47a-44fd-9dcd-605e708b7c98.jpg,,underwear,no blurr,focused enough
6145135e-48b1-4e2f-b4ae-515454ada44d.jpeg,,underwear,blurry background,focused enough
61ac47b8-6e6a-4fea-af32-44a89f262d8e.jpeg,,underwear,blurry background,focused enough
640f165b-84bf-4b69-bbd5-334256a43381.jpeg,,tissue,no blurr,focused enough
6474aedd-50a0-4efd-9851-4fac26b8c20b.jpeg,,tissue,no blurr,focused enough
