run,model,weights,epoch,val_f1,val_acc,train_loss,seed,lr,unfreeze_lr,weight_decay,batch_size,grad_accum_steps,freeze_backbone_epochs,epochs_planned,amp,random_augmentation,csv_path,val_base,test_base,val_samples,test_samples,inferred_fields
dtd_resnet50_detblur_ep15,resnet50,dtd,1,0.7407407407407408,0.6956521739130435,0.6534389526140495,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,2,0.8666666666666666,0.8260869565217391,0.4276921481932284,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,3,0.7857142857142857,0.7391304347826086,0.21110891787426883,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,4,0.8666666666666666,0.8260869565217391,0.16202498070865137,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,5,0.847457627118644,0.8043478260869565,0.1178388291908825,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,6,0.8666666666666666,0.8260869565217391,0.11443034703385269,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,7,0.8852459016393444,0.8478260869565217,0.11179967840835757,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,8,0.8709677419354839,0.8260869565217391,0.0873948224804929,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,9,0.8620689655172413,0.8260869565217391,0.11066357412406044,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,10,0.847457627118644,0.8043478260869565,0.09238046363423594,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,11,0.8421052631578947,0.8043478260869565,0.08927410159290569,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,12,0.8813559322033899,0.8478260869565217,0.08985973458372622,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,13,0.9,0.8695652173913043,0.07847294822949763,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,14,0.8421052631578947,0.8043478260869565,0.060269894398993155,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_detblur_ep15,resnet50,dtd,15,0.8421052631578947,0.8043478260869565,0.04605279191822714,,,,,,,,15,,False,ground_truth261.csv,46,46,46,46,epochs
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,1,0.5651978012075336,0.691358024691358,0.6178791283447052,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,2,0.5651978012075336,0.691358024691358,0.584417550177589,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,3,0.5651978012075336,0.691358024691358,0.5581965546741664,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,4,0.7860684081156522,0.8148148148148148,0.5430476567084173,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,5,0.7306623931623931,0.7777777777777778,0.5155899223880233,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,6,0.7683369644153958,0.8024691358024691,0.5074364914329624,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,7,0.824048981230553,0.8395061728395061,0.4913335831551537,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,8,0.8031550068587104,0.8271604938271605,0.4913912679176093,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,9,0.8595547114065633,0.8641975308641975,0.47557383896405825,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,10,0.8689006466784245,0.8765432098765432,0.46999953116211934,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep11_20260205,resnet50,dtd,11,0.8733040886963926,0.8765432098765432,0.44956512818826694,21,0.0001,1e-05,0.0001,8,1,11,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,1,0.5651978012075336,0.691358024691358,0.6178791283447052,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,2,0.5651978012075336,0.691358024691358,0.584417550177589,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,3,0.5651978012075336,0.691358024691358,0.5581965546741664,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,4,0.7860684081156522,0.8148148148148148,0.5430476567084173,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,5,0.7306623931623931,0.7777777777777778,0.5155899223880233,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,6,0.7683369644153958,0.8024691358024691,0.5074364914329624,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,7,0.824048981230553,0.8395061728395061,0.4913335831551537,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,8,0.8031550068587104,0.8271604938271605,0.4913912679176093,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,9,0.8595547114065633,0.8641975308641975,0.47557383896405825,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,10,0.8689006466784245,0.8765432098765432,0.46999953116211934,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,11,0.8733040886963926,0.8765432098765432,0.44956512818826694,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,12,0.8831129350965192,0.8888888888888888,0.45745768651041285,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,13,0.8543428868632121,0.8641975308641975,0.4442079111794445,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,14,0.8850902184235517,0.8888888888888888,0.4383966408414633,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_frozen_backbone_seed21_ep15_20260205,resnet50,dtd,15,0.8831129350965192,0.8888888888888888,0.4387108483047129,21,0.0001,1e-05,0.0001,8,1,15,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_no_blur_ep15,resnet50,dtd,1,0.7671232876712328,0.6222222222222222,0.6488449870719069,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,2,0.9180327868852458,0.8888888888888888,0.5789044053593942,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,3,0.9491525423728813,0.9333333333333333,0.42098916824855753,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,4,0.9310344827586207,0.9111111111111111,0.3029958332373091,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,5,0.912280701754386,0.8888888888888888,0.21189144105950664,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
dtd_resnet50_no_blur_ep15,resnet50,dtd,6,0.9310344827586207,0.9111111111111111,0.1557334675030275,,,,,,,,15,,False,ground_truth261.csv,45,45,45,45,epochs
